,Website,Areas of Specialization,Bio
Elon Musk,https://www.tesla.com/elon-musk,"Business development, engineering, thinking, and vision.","Elon Reeve Musk is an entrepreneur and business magnate. He is the founder, CEO, and Chief Engineer at SpaceX; early stage investor,CEO, and Product Architect of Tesla, Inc.; founder of The Boring Company; and co-founder of Neuralink and OpenAI. A centibillionaire, Musk is one of the richest people in the world."
Jeff Bezos,https://twitter.com/jeffbezos,"Business development, strategy, information technology, customer experience, and management","Entrepreneur and e-commerce pioneer Jeff Bezos is the founder and CEO of the e-commerce company Amazon, owner of The Washington Post and founder of the space exploration company Blue Origin. His successful business ventures have made him one of the richest people in the world."
Ray Dalio,https://www.bridgewater.com/people/ray-dalio,"Economics, investing, and philantropy","Ray Dalio is Founder, Co-Chairman and Co-Chief Investment Officer of Bridgewater Associates. He started Bridgewater out of his two-bedroom apartment in New York in 1975 and under his leadership, the firm has grown into the fifth most important private company in the US according to Fortune Magazine."
Warren Buffett,https://twitter.com/warrenbuffett?lang=en,"Value investing, disipline investing, and management","Warren Buffett demonstrated keen business abilities at a young age. He formed Buffett Partnership Ltd. in 1956, and by 1965 he had assumed control of Berkshire Hathaway. Overseeing the growth of a conglomerate with holdings in the media, insurance, energy and food and beverage industries, Buffett became one of the world's richest men and a celebrated philanthropist."
Paul McCartney,https://www.paulmccartney.com/,Music producing and management,"Paul McCartney is an English musician and a former member of the legendary music band ‘The Beatles’. A multiple Grammy Award winner, he is also a two-time inductee into the Rock and Roll Hall of Fame (as a member of The Beatles in 1988, and as a solo artist in 1999), and one of the most successful composers and performers of all time."
John Lennon,http://www.johnlennon.com/,Music producing and revolutions,"Musician John Lennon met Paul McCartney in 1957 and invited McCartney to join his music group. They eventually formed the most successful songwriting partnership in musical history. Lennon left the Beatles in 1969, and later released albums with his wife, Yoko Ono, among others. On December 8, 1980, he was killed by a crazed fan named Mark David Chapman."
Cathie Wood,https://ark-invest.com/our-team/,"Disruptive technology, investing, valuation, and strategy","Cathie registered ARK Investment Management LLC (“ARK”) as an investment adviser with the U.S. Securities and Exchange Commission in January 2014. With over 40 years of experience identifying and investing in innovation, Cathie founded ARK to focus solely on disruptive innovation while adding new dimensions to research."
Neil deGrasse Tyson,https://www.haydenplanetarium.org/tyson/about/profile.php,"Astrophysics, podcast hosting, and imagination",Neil deGrasse Tyson was born and raised in New York City where he was educated in the public schools clear through his graduation from the Bronx High School of Science. Tyson went on to earn his BA in Physics from Harvard and his PhD in Astrophysics from Columbia. He now is the director of the Hayden Planetorium.
Steve Jobs,https://twitter.com/stevejobsfilm?lang=en,"Innovation, imagination, creativity, business development, and motivation","Steven Paul Jobs was an American inventor, designer and entrepreneur who was the co-founder, chief executive and chairman of Apple Computer. Apple's revolutionary products, which include the iPod, iPhone and iPad, are now seen as dictating the evolution of modern technology."
Stevie Nicks,https://www.stevienicksofficial.com/,"Performing, rehab, motivation, and acting","Stevie Nicks signed with Fleetwood Mac in 1975, becoming an overnight sensation. She also released solo albums. After years of struggling with addiction (during which time she continued to tour and put out new albums), Nicks regained her health and energy. Fleetwood Mac reunited in 1997 and was inducted into the Rock and Roll Hall of Fame in 1998."
Richard Branson,https://www.virgin.com/branson-family/richard-branson,"Imagination, business development, and engineering.","Richard Branson is Founder of the Virgin Group. Virgin is one of the world’s most irresistible brands and has expanded into many diverse sectors from travel to telecommunications, health to banking and music to leisure."
